merchant_id,merchant_category_id,subsector_description,latitude,longitude
M_ID_003836c8ad,278,restaurant/dining,42.687,-73.757
M_ID_00384b3c14,367,carpentry,41.649,-73.932
M_ID_003922e63d,80,restaurant/dining,41.654,-73.906
M_ID_0039d920e4,401,luxury goods,42.231,-71.795
M_ID_0039e94e29,222,beauty & personal care,41.746,-72.644
M_ID_003aa1e359,343,internet,42.265,-71.851
M_ID_003b770759,834,consumer electronics,40.469,-79.958
M_ID_003b8dff7c,560,gas,41.682,-73.95
M_ID_003bb7fab6,437,liquor,43.226,-71.583
M_ID_003c4123f3,779,consumer electronics,41.726,-73.959
M_ID_003d680268,87,consumer electronics,43.176,-71.556
M_ID_0040a319cb,457,luxury goods,43.213,-71.523
M_ID_0041928d5e,63,consumer electronics,40.415,-80.041
M_ID_0041b721d8,796,insurance,41.793,-72.693
M_ID_0041fa169a,457,luxury goods,42.212,-71.785
M_ID_004232f0ff,222,beauty & personal care,42.607,-73.782
M_ID_0043132ca5,557,retail apparel,42.627,-73.772
M_ID_0043ea3f0c,705,groceries,42.657,-73.758
M_ID_0044061f2e,511,gym,40.478,-79.98
M_ID_0047855719,195,gas,41.782,-72.703
M_ID_0048fab0c6,796,insurance,42.293,-71.774
M_ID_004995eae1,299,luxury goods,41.72,-72.711
M_ID_004e4ded0b,813,retail apparel,42.628,-73.745
M_ID_004fdb8bb8,215,beauty & personal care,42.223,-71.816
M_ID_00505bbb61,80,restaurant/dining,41.754,-72.701
M_ID_005080446f,248,internet,40.819,-74.309
M_ID_0050a37b42,840,health care services,40.482,-80.031
M_ID_00517bd092,19,real estate investments,43.245,-71.521
M_ID_005252c19c,278,restaurant/dining,42.669,-73.81
M_ID_0052679539,683,gas,41.731,-72.673
M_ID_0052927d95,126,consumer electronics,41.724,-72.726
M_ID_00549991da,276,consumer electronics,41.773,-72.686
M_ID_0055a982f3,560,gas,40.427,-79.982
M_ID_0057d39ec0,560,gas,40.445,-79.985
M_ID_00598fbc16,278,restaurant/dining,41.743,-72.632
M_ID_005cd67d2d,705,groceries,42.603,-73.773
M_ID_005d054515,560,gas,42.634,-73.771
M_ID_005dded429,705,groceries,40.475,-79.957
M_ID_0060aee5ac,80,restaurant/dining,40.483,-80.003
M_ID_0062ffd4e7,360,gas,40.447,-79.976
M_ID_0063c08316,330,tobacco,42.295,-71.779
M_ID_00649511bc,705,groceries,42.214,-71.793
M_ID_0064f6e2b8,171,gas,43.918,-73.558
M_ID_00670641b5,529,health care services,41.722,-73.962
M_ID_0067af77ba,278,restaurant/dining,40.469,-79.96
M_ID_0067e06a01,45,hotel,43.247,-71.547
M_ID_006aa8470d,560,gas,42.683,-73.804
M_ID_006d80d142,184,consumer electronics,42.616,-73.771
M_ID_006e59bb1e,417,consumer electronics,40.472,-79.969
M_ID_006ed55653,307,entertainment,42.621,-73.723
M_ID_006f337bed,506,advertising services,42.066,-74.982
M_ID_0070065c71,705,groceries,42.631,-73.771
M_ID_0070462447,432,consumer electronics,43.159,-71.572
M_ID_00722b29a5,307,entertainment,40.47,-80.005
M_ID_0072c16981,367,carpentry,40.394,-80.03
M_ID_0073b79a95,506,advertising services,44.567,-71.167
M_ID_0074dd7c6e,333,insurance,42.63,-73.716
M_ID_0075863218,278,restaurant/dining,43.16,-71.498
M_ID_0075ca76fe,683,gas,40.149,-78.493
M_ID_00779a4b5b,661,internet,42.273,-71.836
M_ID_0077bb3ebc,298,insurance,41.723,-72.637
M_ID_0078819559,367,carpentry,41.788,-72.673
M_ID_007987a353,419,biotechnology,43.179,-71.577
M_ID_007a621d03,307,entertainment,40.446,-79.964
M_ID_007b259447,117,news & journalism,42.679,-73.807
M_ID_007d1fdb33,367,carpentry,43.154,-71.547
M_ID_007d80d7e4,278,restaurant/dining,41.655,-73.882
M_ID_007d967f48,884,consumer electronics,42.629,-73.808
M_ID_007dfccfc4,755,internet,41.663,-73.915
M_ID_007e2a55a3,690,biotechnology,43.234,-71.581
M_ID_007e2cbe55,317,tobacco,40.409,-80.026
M_ID_0081c58abb,769,retail apparel,43.153,-71.509
M_ID_00820733aa,356,liquor,43.043,-70.769
M_ID_008247246e,661,internet,42.929,-71.251
M_ID_0084832a89,417,consumer electronics,41.77,-72.708
M_ID_0085ff6403,705,groceries,40.392,-79.982
M_ID_008764f881,171,gas,43.192,-71.531
M_ID_0087f15f22,779,consumer electronics,41.729,-73.927
M_ID_0088a40a77,179,internet,41.706,-73.975
M_ID_0088a6bc83,80,restaurant/dining,40.999,-80.517
M_ID_0088fa4e2a,87,consumer electronics,42.254,-71.846
M_ID_008920ed5a,343,internet,42.695,-73.766
M_ID_008c02ed06,422,consumer electronics,43.217,-71.533
M_ID_008d51d376,705,groceries,42.608,-73.775
M_ID_008eb6c4cd,278,restaurant/dining,41.686,-73.93
M_ID_008ecd8b06,195,gas,43.204,-71.545
M_ID_008f09b986,45,insurance,42.64,-73.799
M_ID_009074f3ff,560,gas,42.264,-71.849
M_ID_0091868137,87,consumer electronics,43.226,-71.516
M_ID_00920cca39,171,gas,42.602,-73.743
M_ID_00928373ad,783,entertainment,40.421,-80.044
M_ID_0092dbfac8,130,luxury goods,41.71,-73.914
M_ID_0093077e0b,278,semiconductors,42.291,-71.824
M_ID_0094d268d9,580,internet,43.19,-71.494
M_ID_0095723b33,443,beauty & personal care,41.754,-72.714
M_ID_00961419ca,457,luxury goods,40.446,-80.006
M_ID_0096d62566,683,gas,42.674,-73.747
M_ID_009769833d,307,entertainment,41.711,-72.66
M_ID_0097bb2d73,195,gas,41.761,-72.691
M_ID_0097cfabd2,422,consumer electronics,42.217,-71.801
M_ID_0099b6483f,506,advertising services,42.682,-73.733
M_ID_009ae274e9,454,magic cards,41.737,-72.631
M_ID_009f533a67,108,gas,42.275,-71.824
M_ID_00a01bd6d6,457,luxury goods,40.388,-80.029
M_ID_00a14be5e8,796,insurance,42.628,-73.781
M_ID_00a14f5e1a,126,consumer electronics,43.228,-71.503
M_ID_00a164e0cd,45,hotel,40.416,-79.978
M_ID_00a21d983c,422,consumer electronics,42.304,-71.846
M_ID_00a226aa22,417,consumer electronics,42.688,-73.79
M_ID_00a26c6d23,769,consumer electronics,42.075,-75.354
M_ID_00a2a5855b,80,restaurant/dining,40.411,-80.004
M_ID_00a368ac33,414,retail apparel,42.682,-73.737
M_ID_00a3c08874,889,consumer electronics,41.711,-73.974
M_ID_00a3e52ec6,531,consumer electronics,40.396,-80.017
M_ID_00a63fb502,813,retail apparel,42.212,-71.77
M_ID_00a6ca8a8a,879,gym,42.273,-71.797
M_ID_00a80ba8dd,360,gas,42.624,-73.739
M_ID_00a8ce2bef,531,consumer electronics,40.441,-80.0
M_ID_00a9c02df5,795,retail apparel,41.746,-72.7
M_ID_00abb15f91,593,retail apparel,42.65,-73.725
M_ID_00ace1ebae,683,gas,42.602,-73.746
M_ID_00ad776ef5,607,retail apparel,40.473,-80.029
M_ID_00adcbfe87,340,real estate services,43.204,-71.526
M_ID_00b0bdd190,307,entertainment,43.216,-71.51
M_ID_00b4afd50c,531,consumer electronics,43.498,-77.958
M_ID_00b4b808e1,560,restaurant/dining,42.658,-73.73
M_ID_00b4f8c173,667,beauty & personal care,40.646,-75.394
M_ID_00b558197a,414,retail apparel,41.727,-72.676
M_ID_00b5953bb2,705,groceries,42.604,-73.756
M_ID_00b63cac58,299,luxury goods,42.688,-73.73
M_ID_00b6b979ef,367,carpentry,41.794,-80.23
M_ID_00b6ddeac6,179,internet,43.195,-71.549
M_ID_00b6f61b2e,119,insurance,42.623,-73.717
M_ID_00b7788c91,278,restaurant/dining,41.701,-73.898
M_ID_00b8af5a6a,357,consumer electronics,42.222,-71.842
M_ID_00b93b3c55,367,carpentry,41.74,-73.961
M_ID_00bbbfcba8,755,internet,43.228,-71.537
M_ID_00bcdbdc15,560,gas,40.452,-79.98
M_ID_00bd5e7034,342,health care services,41.785,-72.653
M_ID_00bd932b8d,68,consumer electronics,43.155,-71.573
M_ID_00be66b806,580,internet,42.276,-71.806
M_ID_00bf62b5c8,343,internet,41.795,-72.652
M_ID_00c0034225,683,gas,40.475,-80.011
M_ID_00c122bb06,705,groceries,42.602,-73.774
M_ID_00c2f2ad26,171,gas,42.561,-72.72
M_ID_00c43b3e0b,737,hotel,41.664,-73.96
M_ID_00c43dc392,416,internet,42.257,-71.836
M_ID_00c4ba5a93,171,gas,41.741,-73.882
M_ID_00c4ba6eb7,683,restaurant/dining,41.649,-73.948
M_ID_00c57eaac8,416,internet,41.728,-72.666
M_ID_00c75b582d,796,insurance,42.275,-71.839
M_ID_00c7d96c88,661,internet,43.185,-71.576
M_ID_00c8132c7e,171,gas,43.251,-71.512
M_ID_00c882012c,299,luxury goods,43.203,-71.517
M_ID_00c9b46259,307,entertainment,42.213,-71.786
M_ID_00cbd8730b,307,entertainment,41.78,-72.639
M_ID_00cd23d178,278,restaurant/dining,43.196,-71.498
M_ID_00ce7087bc,695,gas,41.772,-72.68
M_ID_00cee19012,454,magic cards,41.266,-80.434
M_ID_00d02accc3,472,financial services,40.428,-79.984
M_ID_00d236a951,273,health care services,41.672,-73.957
M_ID_00d36f56e7,206,retail apparel,43.157,-71.592
M_ID_00d4322434,222,beauty & personal care,41.761,-72.681
M_ID_00d4a31f69,705,groceries,40.457,-79.985
M_ID_00d4ffc835,80,restaurant/dining,40.444,-79.966
M_ID_00d5b7cbe2,87,consumer electronics,43.239,-71.506
M_ID_00d684ca87,690,biotechnology,41.697,-73.916
M_ID_00d8d8d792,108,gas,42.629,-73.733
M_ID_00d8e1e694,360,gas,43.185,-71.569
M_ID_00d92520ff,68,consumer electronics,38.54,-75.215
M_ID_00da1add15,87,consumer electronics,41.656,-73.877
M_ID_00da5cac00,457,luxury goods,41.731,-72.662
M_ID_00da95cd76,108,gas,42.292,-71.816
M_ID_00dbf59b65,650,retail apparel,43.158,-71.568
M_ID_00dc67f23c,755,internet,43.225,-71.574
M_ID_00dcb209c0,317,tobacco,40.46,-79.99
M_ID_00ddd35afb,705,groceries,42.962,-76.173
M_ID_00e0c7e6b1,416,internet,43.164,-71.56
M_ID_00e131b73d,360,gas,43.23,-71.518
M_ID_00e133021f,210,automobiles,42.297,-71.791
M_ID_00e2b70337,195,gas,42.637,-73.738
M_ID_00e2cfbe21,705,groceries,40.423,-79.969
M_ID_00e460eda2,307,entertainment,43.248,-71.549
M_ID_00e46f1db1,278,restaurant/dining,42.282,-71.845
M_ID_00e4ef587d,796,insurance,43.221,-71.572
M_ID_00e4f5478b,80,restaurant/dining,42.65,-73.74
M_ID_00e6baf52d,307,entertainment,43.229,-71.542
M_ID_00e936138b,195,gas,41.694,-73.968
M_ID_00ea863462,68,consumer electronics,42.6,-73.751
M_ID_00eb199326,705,groceries,42.244,-71.776
M_ID_00eb4b1ca2,705,groceries,42.8,-73.094
M_ID_00ec3182ae,557,retail apparel,41.804,-72.714
M_ID_00eea04b25,319,consumer electronics,42.24,-71.786
M_ID_00f0f46a6b,427,consumer electronics,43.238,-71.563
M_ID_00f141991f,695,gas,42.292,-71.796
M_ID_00f153a14f,307,entertainment,40.453,-80.046
M_ID_00f25fb769,179,internet,41.71,-73.947
M_ID_00f2b1968a,198,insurance,42.252,-71.823
M_ID_00f31042a1,278,restaurant/dining,41.751,-72.679
M_ID_00f37e5543,171,gas,42.288,-71.856
M_ID_00f4ad6410,40,beauty & personal care,42.257,-71.758
M_ID_00f50b6acf,755,internet,40.425,-79.995
M_ID_00f803a717,840,health care services,43.248,-71.523
M_ID_00f85d9635,367,carpentry,41.684,-73.973
M_ID_00f9447528,507,phone bill,43.181,-71.556
M_ID_00f9ca6b02,367,carpentry,41.724,-72.635
M_ID_00fad79ed7,278,restaurant/dining,41.804,-72.658
M_ID_00fb68e3e1,179,internet,41.74,-72.691
M_ID_00fbf73ec3,130,luxury goods,40.407,-79.961
M_ID_00fc6d7d3d,705,groceries,41.81,-72.652
M_ID_00fcb55ed2,884,consumer electronics,43.197,-71.556
M_ID_00fcbdad4f,411,liquor,41.726,-73.926
M_ID_00ff7ade75,755,internet,40.43,-79.997
M_ID_010005a921,80,restaurant/dining,42.242,-71.79
M_ID_01002c1f09,580,internet,41.715,-73.88
M_ID_0101fd23c5,419,biotechnology,41.689,-73.973
M_ID_0104ad8596,506,advertising services,42.614,-73.791
M_ID_0107ab0421,842,restaurant/dining,41.737,-72.656
M_ID_010861e699,80,restaurant/dining,43.154,-71.543
M_ID_0109a2659f,457,luxury goods,42.629,-73.77
M_ID_010c1d03b6,34,pharmaceuticals,41.677,-73.956
M_ID_010cc673c2,80,restaurant/dining,44.727,-73.886
M_ID_010cf2e0d5,195,gas,42.613,-73.751
M_ID_010d8462c9,87,consumer electronics,41.746,-72.7
M_ID_010d9604da,367,carpentry,41.797,-72.671
M_ID_010f6fda7d,108,gas,41.758,-72.719
M_ID_010ff71360,683,gas,42.639,-73.747
M_ID_01104e7c5e,360,gas,41.731,-72.651
M_ID_01119dbc4f,108,gas,42.604,-73.725
M_ID_01123db89c,108,gas,40.473,-80.047
M_ID_0113485fb2,171,gas,42.303,-71.771
M_ID_0116936aed,705,groceries,43.159,-71.56
M_ID_0117ed506b,195,gas,41.727,-73.878
M_ID_01189fc19b,119,insurance,42.246,-71.762
M_ID_0118cd959c,299,luxury goods,42.598,-73.793
M_ID_011afc70cf,367,carpentry,41.736,-73.88
M_ID_011d13a280,367,carpentry,42.26,-71.841
M_ID_011e3a4537,307,entertainment,42.133,-79.526
M_ID_011f415751,373,hotel,41.748,-72.648
M_ID_011fd615c8,401,luxury goods,41.72,-73.972
M_ID_01205cbf09,248,internet,41.743,-72.711
M_ID_0120993994,367,carpentry,40.476,-80.016
M_ID_01219ff439,695,gas,44.696,-73.45
M_ID_0122559cfc,307,entertainment,43.895,-74.042
M_ID_0122bc7a6a,248,internet,40.409,-80.005
M_ID_012303af89,884,consumer electronics,40.408,-80.05
M_ID_0123a2a096,796,insurance,43.203,-71.501
M_ID_01249af850,108,gas,42.689,-73.791
M_ID_012537ae0f,130,luxury goods,40.414,-80.042
M_ID_0126658872,560,gas,41.701,-73.93
M_ID_012819ce75,705,groceries,40.433,-80.011
M_ID_01284d0ed7,260,semiconductors,41.783,-72.636
M_ID_0128774074,690,biotechnology,42.654,-73.745
M_ID_0128e1fa39,690,biotechnology,41.799,-72.71
M_ID_012923522a,87,consumer electronics,43.173,-71.57
M_ID_012a6f026e,357,consumer electronics,41.738,-72.66
M_ID_012a76f882,645,financial services,41.672,-73.952
M_ID_012abad529,755,internet,42.666,-73.799
M_ID_012c04ea3a,607,retail apparel,42.604,-73.717
M_ID_012d399174,68,consumer electronics,39.565,-76.057
M_ID_012ef143dc,422,consumer electronics,40.457,-79.971
M_ID_01307f60d2,422,consumer electronics,42.682,-73.795
M_ID_01317b5c4c,419,biotechnology,41.735,-72.632
M_ID_013219372c,108,office supplies,41.776,-72.632
M_ID_0132a2687c,457,luxury goods,40.481,-79.972
M_ID_0132d91831,108,gas,41.796,-72.639
M_ID_0134f82a04,531,consumer electronics,40.457,-79.977
M_ID_01363f813e,195,gas,40.432,-80.036
M_ID_01368fe086,560,gas,41.725,-73.877
M_ID_0136a21657,278,restaurant/dining,44.76,-73.96
M_ID_0136dd9002,580,internet,42.669,-73.806
M_ID_0136f79f8d,343,internet,40.957,-77.576
M_ID_0138a738aa,307,entertainment,42.665,-73.738
M_ID_0139f8fa47,560,gas,42.669,-73.743
M_ID_013a991f15,796,insurance,42.26,-71.771
M_ID_013af2433c,667,beauty & personal care,42.259,-71.838
M_ID_013c0f7f2f,60,utilities,40.398,-80.01
M_ID_013c2e9221,299,luxury goods,42.21,-71.776
M_ID_013cdd2cfb,81,retail apparel,42.24,-71.827
M_ID_013eb91138,195,gas,40.403,-79.959
M_ID_013f1c0099,497,consumer electronics,42.617,-73.75
M_ID_0140464959,531,consumer electronics,41.785,-72.71
M_ID_01411b76d7,683,gas,41.659,-73.891
M_ID_01413e29b0,87,consumer electronics,41.723,-72.639
M_ID_01424cb3cc,278,restaurant/dining,42.268,-71.781
M_ID_0143161aa4,198,insurance,40.142,-77.295
M_ID_0144195e60,119,insurance,42.626,-73.757
M_ID_0144fab651,367,carpentry,43.164,-71.503
M_ID_0146c5b0fc,179,internet,42.225,-71.759
M_ID_0146ded61d,126,consumer electronics,43.231,-71.508
M_ID_014823cd45,705,groceries,43.205,-71.525
M_ID_0149c8ec25,367,carpentry,42.301,-71.778
M_ID_014a58ba62,69,health care services,42.273,-71.807
M_ID_014a8b3bae,307,entertainment,45.873,-68.76
M_ID_014aa38657,289,consumer electronics,43.234,-71.507
M_ID_014ad00c98,307,entertainment,42.289,-71.791
M_ID_014cdcf96e,307,entertainment,41.721,-73.914
M_ID_014cea5e6f,179,internet,40.436,-80.02
M_ID_014d1ae0bd,705,groceries,41.671,-73.929
M_ID_014e675009,319,consumer electronics,41.694,-73.9
M_ID_014f53d2d1,307,entertainment,41.751,-72.673
M_ID_014f739d51,419,biotechnology,43.198,-71.567
M_ID_0150a61c28,332,news & journalism,41.767,-72.637
M_ID_0153a7d3b0,80,restaurant/dining,41.654,-73.879
M_ID_015483d93c,52,semiconductors,40.477,-80.007
M_ID_0155471291,68,consumer electronics,43.25,-71.551
M_ID_0156e34767,661,internet,43.221,-71.573
M_ID_0158c48518,299,luxury goods,43.25,-71.565
M_ID_0159309e69,307,entertainment,42.69,-73.737
M_ID_015bf443fe,528,tobacco,40.401,-80.037
M_ID_015c9700a7,9,beauty & personal care,43.154,-71.554
M_ID_015cd2ac94,68,consumer electronics,42.6,-73.745
M_ID_015e126202,661,internet,43.208,-71.514
M_ID_015eefd824,580,internet,42.61,-73.716
M_ID_015ef38ea1,457,luxury goods,42.689,-73.768
M_ID_015fcaa5b2,130,luxury goods,41.749,-72.702
M_ID_015fed07fe,842,restaurant/dining,43.206,-71.526
M_ID_015ff18c7c,278,restaurant/dining,43.204,-71.556
M_ID_0161be06f5,651,news & journalism,43.251,-71.54
M_ID_016354dd51,90,office supplies,43.232,-71.555
M_ID_01639d1ae9,130,luxury goods,41.664,-73.935
M_ID_016461b505,299,luxury goods,41.744,-73.936
M_ID_016494f7a2,80,restaurant/dining,43.195,-71.531
M_ID_0164f8a9d9,705,groceries,40.406,-80.004
M_ID_016537cd5f,299,luxury goods,41.78,-72.631
M_ID_0165d6e546,80,restaurant/dining,42.241,-71.766
M_ID_0166b9c662,779,consumer electronics,42.212,-71.79
M_ID_016768b028,130,luxury goods,43.631,-76.55
M_ID_01690b7a6d,298,insurance,40.452,-80.035
M_ID_01694f2e80,783,entertainment,43.215,-71.568
M_ID_0169605880,278,restaurant/dining,42.696,-73.739
M_ID_01696e7c95,705,groceries,41.695,-73.925
M_ID_016a5cbedb,401,luxury goods,41.732,-73.926
M_ID_016ab7343b,457,luxury goods,41.74,-73.929
M_ID_016bbf038c,437,liquor,41.668,-73.965
M_ID_016e02f0cf,195,gas,41.749,-72.698
M_ID_016e16c5e9,278,restaurant/dining,40.431,-79.98
M_ID_016e9ad854,705,groceries,42.28,-71.847
M_ID_016ee3c882,198,insurance,43.247,-71.522
M_ID_016f07b690,278,restaurant/dining,42.609,-73.731
M_ID_01701c2f3a,195,gas,41.666,-73.934
M_ID_01718e0899,278,restaurant/dining,41.81,-72.67
M_ID_0171901700,130,advertising services,42.694,-73.758
M_ID_0171e7c8ba,222,beauty & personal care,43.214,-71.517
M_ID_0172f6bfc3,126,consumer electronics,41.705,-73.931
M_ID_01732fd9b6,278,restaurant/dining,43.164,-71.548
M_ID_0173a47d27,278,restaurant/dining,41.378,-72.506
M_ID_01763a4605,422,consumer electronics,38.49,-76.586
M_ID_017657a866,367,carpentry,42.668,-73.734
M_ID_017662a93c,130,luxury goods,40.439,-80.016
M_ID_01780cf816,695,gas,40.392,-80.02
M_ID_0178823f08,422,consumer electronics,40.449,-80.044
M_ID_017919bf90,705,groceries,42.272,-71.834
M_ID_017aa2f920,307,entertainment,43.172,-71.522
M_ID_017bd98caa,307,entertainment,45.612,-70.086
M_ID_017bfa472f,795,retail apparel,44.859,-69.052
M_ID_017df1c0a4,373,insurance,41.73,-72.67
M_ID_017ebd3fce,248,internet,42.276,-71.824
M_ID_017eea46f1,560,gas,43.176,-71.505
M_ID_0180a94418,276,consumer electronics,38.739,-75.189
M_ID_0180b04d42,834,consumer electronics,42.674,-73.776
M_ID_0180d3119d,783,entertainment,42.606,-73.719
M_ID_01812379f3,367,carpentry,40.434,-80.029
M_ID_0181428293,457,luxury goods,42.293,-71.768
M_ID_01815cddc9,457,luxury goods,43.232,-71.55
M_ID_018217c55a,661,internet,43.169,-71.528
M_ID_018333feda,434,flights,40.46,-79.983
M_ID_0183ec2ac9,130,luxury goods,40.393,-79.994
M_ID_0184779b95,661,internet,42.658,-73.793
M_ID_01852e8b87,518,consumer electronics,41.787,-72.721
M_ID_01869b2392,171,gas,42.301,-71.772
M_ID_01885fc0af,690,biotechnology,41.796,-72.648
M_ID_018931ccfa,171,gas,41.749,-72.649
M_ID_018a0e8e18,560,gas,41.72,-73.953
M_ID_018a457020,560,gas,41.722,-73.96
M_ID_018b63352e,560,gas,42.23,-71.814
M_ID_018fc3b06b,834,consumer electronics,42.238,-71.843
M_ID_01906a5532,751,pharmaceuticals,42.29,-71.847
M_ID_019297fe08,518,consumer electronics,42.662,-73.766
M_ID_019299578d,779,consumer electronics,41.647,-73.904
M_ID_0192c5aa22,884,consumer electronics,41.806,-72.636
M_ID_0193be4064,87,consumer electronics,42.245,-71.787
M_ID_01948003f2,278,restaurant/dining,42.267,-71.823
M_ID_01955ae3d5,884,consumer electronics,40.462,-80.05
M_ID_01958e011a,179,internet,41.731,-73.956
M_ID_019677ed8c,119,insurance,40.419,-79.955
M_ID_0196a5253d,87,consumer electronics,43.171,-71.588
M_ID_0197028aa8,179,internet,43.227,-71.554
M_ID_01984ffb72,557,retail apparel,42.237,-71.783
M_ID_019a522b7f,108,gas,41.755,-72.671
M_ID_019b6911a8,695,gas,42.665,-73.73
M_ID_019b7016cb,299,luxury goods,40.471,-79.971
M_ID_019bcab652,637,restaurant/dining,42.621,-73.775
M_ID_019bf8a579,80,restaurant/dining,41.776,-72.661
M_ID_019c66358a,278,restaurant/dining,40.452,-80.038
M_ID_019d9bd2b7,360,gas,42.612,-73.755
M_ID_019e704ee3,278,restaurant/dining,43.158,-71.515
M_ID_019f29c4c3,130,luxury goods,40.395,-80.0
M_ID_01a001e71b,206,gas,43.181,-71.559
M_ID_01a2230f04,278,restaurant/dining,40.462,-80.016
M_ID_01a31f2f27,298,insurance,41.715,-73.914
M_ID_01a39f062d,299,luxury goods,40.467,-79.978
M_ID_01a464fa4f,796,insurance,41.724,-73.911
M_ID_01aa1a5920,309,beauty & personal care,43.212,-71.569
M_ID_01aa402e43,416,internet,41.743,-72.682
M_ID_01ab1ad1b6,457,luxury goods,42.25,-71.849
M_ID_01acffb4a8,511,consumer electronics,41.744,-72.683
M_ID_01ae0c95ea,607,retail apparel,43.173,-71.494
M_ID_01afb989f2,705,groceries,40.442,-80.05
M_ID_01afbbde10,796,insurance,46.348,-68.784
M_ID_01b368328a,307,entertainment,42.651,-73.751
M_ID_01b51981bf,119,insurance,41.681,-73.969
M_ID_01b61bc351,560,gas,41.774,-72.654
M_ID_01b7eb4de5,80,restaurant/dining,42.696,-73.744
M_ID_01b8aa81bc,278,restaurant/dining,42.688,-73.796
M_ID_01bbff5bd6,661,internet,40.398,-79.964
M_ID_01bc0568e2,171,gas,42.615,-73.73
M_ID_01bc7c731c,414,groceries,42.214,-71.855
M_ID_01bcd1f858,705,groceries,42.636,-73.744
M_ID_01bcd93c6f,119,insurance,40.449,-79.987
M_ID_01bd81a96b,560,gas,42.213,-71.812
M_ID_01be34da5b,580,internet,42.225,-71.81
M_ID_01beac1d18,437,liquor,42.568,-78.599
M_ID_01beef909c,357,consumer electronics,41.709,-73.897
M_ID_01bf0274b6,683,gas,43.193,-71.551
M_ID_01bf299d94,705,groceries,41.706,-73.878
M_ID_01bfe9aff9,68,consumer electronics,40.46,-80.016
M_ID_01c33e1188,248,internet,42.203,-79.388
M_ID_01c344430e,130,luxury goods,41.656,-73.958
M_ID_01c4b60121,511,gym,43.164,-71.504
M_ID_01c4d44c7e,434,flights,41.712,-73.967
M_ID_01c5b67132,60,utilities,43.165,-71.542
M_ID_01c6daa114,343,internet,40.474,-80.039
M_ID_01c8266857,130,luxury goods,43.155,-71.576
M_ID_01c94d789c,607,retail apparel,42.697,-73.762
M_ID_01c95210b9,557,carpentry,41.81,-72.725
