internal_card_mapping,first_active_month,reward_program,latitude,longitude,fico_score,age
C_ID_01726f1f56,2020-12,dining_entertainment,42.65,-73.74,617,60
C_ID_01789c606c,2021-09,dining_entertainment,42.244,-71.776,685,37
C_ID_017ba4c5e2,2021-06,dining_entertainment,42.292,-71.796,769,21
C_ID_017fbdd196,2021-04,cash_back,41.751,-72.679,322,68
C_ID_01820ceab7,2021-02,cash_back,40.425,-79.995,683,25
C_ID_01890b34bb,2021-07,dining_entertainment,41.724,-72.635,375,24
C_ID_01904d743d,2021-07,cash_back,40.407,-79.961,516,81
C_ID_019b19fd18,2019-11,dining_entertainment,40.43,-79.997,596,46
C_ID_01a31f8ffc,2020-08,cash_back,42.614,-73.791,362,31
C_ID_01abb53c1c,2021-06,travel,41.677,-73.956,423,27
C_ID_01b29e7c01,2021-08,cash_back,41.758,-72.719,566,92
C_ID_01b65b4007,2021-10,cash_back,41.731,-72.651,343,21
C_ID_01bb62c056,2021-09,dining_entertainment,42.303,-71.771,656,31
C_ID_01c1a5c84c,2019-08,cash_back,42.598,-73.793,723,53
C_ID_01c93f8239,2018-12,cash_back,41.72,-73.972,832,27
C_ID_01d4cc5855,2020-10,dining_entertainment,40.408,-80.05,713,37
C_ID_01db10c831,2020-04,cash_back,41.701,-73.93,845,58
C_ID_01e093b686,2021-03,travel,41.799,-72.71,428,20
C_ID_01e366d478,2021-11,cash_back,42.666,-73.799,407,88
C_ID_01e5dba236,2019-09,cash_back,41.735,-72.632,706,24
C_ID_01ea8ea047,2021-09,cash_back,40.457,-79.977,479,35
C_ID_01f6b2bf74,2021-09,cash_back,42.665,-73.738,692,21
C_ID_01ffa2751a,2021-10,cash_back,40.398,-80.01,485,53
C_ID_0206f999c3,2021-09,cash_back,42.617,-73.75,544,91
C_ID_020caa3c52,2021-07,cash_back,39.77,-80.381,554,78
C_ID_0211323f5e,2020-09,dining_entertainment,42.225,-71.759,508,56
C_ID_02146420f7,2021-09,cash_back,42.301,-71.778,701,50
C_ID_0218e97381,2020-11,cash_back,41.721,-73.914,303,21
C_ID_021f7e7e36,2021-08,travel,41.751,-72.673,412,69
C_ID_0224a8f43c,2021-04,travel,40.477,-80.007,313,24
C_ID_022b7d73e6,2021-04,cash_back,42.69,-73.737,722,88
C_ID_022d801273,2020-04,cash_back,42.6,-73.745,508,57
C_ID_02367f531e,2021-02,cash_back,41.749,-72.702,825,42
C_ID_023cb2ad47,2019-11,cash_back,42.865,-78.34,388,60
C_ID_0240cce8f8,2021-11,cash_back,41.299,-74.271,779,82
C_ID_0249dd9479,2021-09,travel,41.78,-72.631,405,26
C_ID_024f6b4f6b,2020-12,cash_back,41.584,-72.006,399,99
C_ID_025306aa6c,2021-10,dining_entertainment,41.732,-73.926,663,38
C_ID_0256a0214b,2020-11,cash_back,40.431,-79.98,750,68
C_ID_0259ad8a27,2021-06,travel,41.666,-73.934,651,88
C_ID_026092c865,2019-11,travel,41.705,-73.931,485,49
C_ID_0269899d2e,2021-08,cash_back,40.392,-80.02,712,31
C_ID_0274c0c93e,2021-09,cash_back,39.858,-80.389,595,58
C_ID_027658b630,2021-05,cash_back,42.276,-71.824,786,54
C_ID_0279963625,2021-01,cash_back,43.349,-71.973,838,37
C_ID_027ea900c0,2020-08,cash_back,43.169,-71.528,813,35
C_ID_0283f321f3,2021-03,cash_back,41.787,-72.721,482,80
C_ID_02878bcad9,2021-07,dining_entertainment,41.749,-72.649,771,39
C_ID_028a88a7ae,2021-04,cash_back,42.238,-71.843,684,43
C_ID_0292897d58,2018-02,cash_back,41.806,-72.636,537,59
C_ID_02950a95bb,2019-11,cash_back,41.731,-73.956,666,20
C_ID_02975f9c8f,2021-11,travel,42.237,-71.783,782,61
C_ID_029d84e560,2021-10,travel,44.858,-71.183,739,45
C_ID_02a84b3d82,2021-08,cash_back,40.452,-80.038,361,100
C_ID_02ad43db9b,2021-08,cash_back,43.181,-71.559,710,20
C_ID_02b0d7a81e,2020-10,dining_entertainment,41.724,-73.911,519,38
C_ID_02b89898a9,2020-08,cash_back,41.744,-72.683,336,86
C_ID_02bb5bec35,2020-10,cash_back,42.651,-73.751,321,30
C_ID_02bd1c4210,2020-06,cash_back,42.688,-73.796,775,29
C_ID_02c156a33d,2021-07,travel,42.636,-73.744,389,36
C_ID_02ca5e4fb3,2021-09,cash_back,42.225,-71.81,440,58
C_ID_02cef8372d,2021-03,travel,41.706,-73.878,460,49
C_ID_02d39fcb5e,2019-03,cash_back,43.164,-71.504,406,90
C_ID_02dcbd9355,2021-04,cash_back,42.349,-73.633,412,29
C_ID_02edd6a76a,2021-11,travel,41.81,-72.725,562,80
C_ID_02f97fda1f,2021-02,cash_back,41.669,-73.885,590,21
C_ID_02fd76c11a,2021-06,travel,41.775,-72.712,345,53
C_ID_0300e981aa,2021-04,cash_back,40.447,-80.038,757,21
C_ID_03048d8abd,2020-06,cash_back,41.741,-72.719,651,48
C_ID_030e7f6a02,2020-11,cash_back,42.646,-73.782,765,39
C_ID_0315c0c955,2020-10,cash_back,41.809,-72.631,841,46
C_ID_031a8e7061,2021-06,cash_back,41.759,-72.67,839,56
C_ID_0325c4136c,2021-03,dining_entertainment,41.708,-73.958,691,52
C_ID_03305ad5e7,2021-08,cash_back,43.239,-71.509,836,35
C_ID_033655d17f,2021-06,cash_back,41.705,-73.935,500,92
C_ID_0339cfd2af,2021-03,cash_back,42.67,-73.74,752,78
C_ID_033b816dcb,2021-06,cash_back,42.667,-73.749,566,40
C_ID_0342f147a9,2020-03,cash_back,44.607,-75.474,783,20
C_ID_034647ea2d,2020-10,cash_back,42.263,-71.851,647,39
C_ID_034ab866e0,2021-09,dining_entertainment,42.656,-73.76,750,95
C_ID_03538e5a9f,2021-08,dining_entertainment,40.444,-79.98,615,99
C_ID_0359e86ba3,2021-05,cash_back,42.291,-71.764,480,54
C_ID_0362579021,2021-05,dining_entertainment,40.447,-80.032,321,35
C_ID_0368d8191c,2021-10,cash_back,41.729,-73.931,813,20
C_ID_036d7bec76,2020-05,cash_back,43.242,-71.498,641,48
C_ID_0373f599f1,2020-12,cash_back,42.217,-71.79,616,33
C_ID_03793e545a,2020-12,dining_entertainment,41.724,-72.719,686,39
C_ID_037f4aba9f,2020-10,cash_back,41.659,-73.946,790,50
C_ID_0386e6f1a7,2019-07,cash_back,42.272,-71.828,415,21
C_ID_038ddcc206,2021-07,cash_back,42.61,-73.738,575,68
C_ID_039139ec0f,2021-02,cash_back,42.265,-71.829,652,25
C_ID_03950f6dc9,2021-12,cash_back,41.743,-73.913,798,70
C_ID_0399a4b0f8,2021-07,cash_back,41.719,-72.713,375,46
C_ID_039fae55ab,2021-11,dining_entertainment,42.289,-71.769,824,89
C_ID_03ab496e52,2021-10,cash_back,40.388,-79.5,655,62
C_ID_03b0c7b495,2020-08,cash_back,43.213,-71.517,614,71
C_ID_03bf96f2a4,2021-08,cash_back,40.435,-80.051,380,58
C_ID_03c374bf80,2021-03,cash_back,41.761,-72.725,421,54
C_ID_03cb8687c9,2021-02,cash_back,42.298,-71.793,821,84
C_ID_03d5fb6c9c,2021-11,cash_back,43.22,-71.497,807,31
C_ID_03d999fb76,2020-12,cash_back,43.222,-71.5,749,28
C_ID_03e3e52d65,2021-10,cash_back,41.722,-72.681,833,30
C_ID_03f2699673,2020-11,cash_back,42.262,-71.845,526,62
C_ID_03fad7f223,2021-11,dining_entertainment,42.252,-71.84,592,62
C_ID_0403e8b4ef,2021-08,cash_back,41.797,-72.684,380,30
C_ID_040b068acf,2020-11,cash_back,40.461,-79.952,360,19
C_ID_040fc2a495,2021-12,travel,42.211,-71.828,751,28
C_ID_041618ad24,2021-01,cash_back,41.767,-72.705,574,78
C_ID_041cf353e8,2021-01,dining_entertainment,41.711,-73.883,323,83
C_ID_041eb4ff9c,2020-05,travel,42.301,-71.852,532,38
C_ID_0423d31f94,2021-07,travel,40.43,-80.0,319,53
C_ID_042aafc5b5,2021-08,travel,42.626,-73.797,622,25
C_ID_0431b415cd,2021-04,cash_back,43.21,-71.558,505,89
C_ID_0434e4eab1,2021-05,dining_entertainment,41.733,-72.681,360,53
C_ID_043a085710,2021-11,travel,41.682,-73.892,377,26
C_ID_043d21fb85,2021-12,cash_back,41.768,-72.653,821,49
C_ID_0444324614,2020-05,cash_back,41.803,-72.711,492,81
C_ID_044bc26614,2020-10,dining_entertainment,41.727,-73.951,523,70
C_ID_0451e614b8,2021-12,travel,42.298,-71.854,826,28
C_ID_045c478562,2021-06,travel,40.464,-79.98,329,35
C_ID_0461bc2ff8,2021-11,cash_back,40.481,-79.961,386,42
C_ID_046e3acf4b,2021-04,travel,43.201,-71.572,658,86
C_ID_047348edc9,2019-02,cash_back,41.77,-72.68,701,75
C_ID_04782dbd0c,2021-09,cash_back,42.226,-71.801,549,27
C_ID_047f1d6059,2021-09,cash_back,41.739,-72.709,373,46
C_ID_04893bcf1c,2021-11,cash_back,40.392,-79.962,405,23
C_ID_048f021387,2021-06,travel,42.684,-73.746,398,25
C_ID_0494b17862,2021-03,dining_entertainment,41.775,-72.691,609,100
C_ID_04972b847d,2021-03,cash_back,41.793,-72.647,731,89
C_ID_049d72d6d5,2021-11,cash_back,41.777,-72.72,367,32
C_ID_04a6f36396,2019-12,dining_entertainment,43.989,-71.204,546,79
C_ID_04abec0c17,2020-08,cash_back,43.204,-71.495,752,24
C_ID_04b7862d19,2020-02,cash_back,43.224,-71.56,467,19
C_ID_04bb411934,2021-04,cash_back,40.449,-80.039,527,35
C_ID_04bf70ef30,2021-03,cash_back,41.797,-72.72,343,86
C_ID_04c41e92c9,2021-02,dining_entertainment,41.652,-73.956,592,69
C_ID_04c5db9b90,2020-08,cash_back,40.428,-79.986,575,28
C_ID_04cfeec9d7,2020-01,cash_back,41.677,-73.959,475,99
C_ID_04d2a94d8e,2021-07,cash_back,41.746,-72.692,788,29
C_ID_04d534d249,2020-10,cash_back,42.239,-71.829,756,44
C_ID_04df9cf984,2021-09,cash_back,41.722,-72.681,476,84
C_ID_04e50047b3,2021-09,cash_back,42.649,-73.801,553,32
C_ID_04e888e845,2020-07,cash_back,43.158,-71.534,457,31
C_ID_04ef6b3728,2021-09,travel,42.252,-71.819,321,51
C_ID_04f80c8250,2021-07,dining_entertainment,43.269,-78.604,826,35
C_ID_04ff81e123,2019-03,travel,43.191,-71.506,707,50
C_ID_05090469e5,2021-09,cash_back,40.465,-79.977,519,44
C_ID_050fbedeef,2021-01,dining_entertainment,40.404,-80.016,453,54
C_ID_0513be12e3,2021-05,cash_back,42.869,-71.953,343,40
C_ID_05188f08de,2021-01,travel,42.307,-71.8,824,58
C_ID_051da3a2ff,2021-10,travel,41.81,-72.677,614,25
C_ID_05230dd540,2020-10,dining_entertainment,41.729,-73.962,666,18
C_ID_052870e177,2021-07,dining_entertainment,41.737,-73.946,332,47
C_ID_052d7ef7dd,2021-06,cash_back,42.298,-71.803,439,34
C_ID_05354d9418,2021-08,cash_back,44.257,-69.397,360,36
C_ID_0542792f2d,2021-10,cash_back,42.613,-73.717,470,34
C_ID_05463bea6d,2020-10,cash_back,42.305,-71.758,352,32
C_ID_054db30e40,2021-10,cash_back,41.764,-72.649,811,43
C_ID_055192cf88,2021-07,cash_back,42.633,-73.721,657,31
C_ID_0558ad77a4,2021-09,cash_back,43.23,-71.542,612,45
C_ID_055d96c60f,2021-05,cash_back,41.787,-72.647,416,39
C_ID_055f6e16aa,2021-06,dining_entertainment,42.645,-73.765,311,53
C_ID_05632536e1,2021-12,cash_back,42.678,-73.726,480,64
C_ID_056530ba17,2020-11,travel,40.473,-79.967,770,21
C_ID_056826ec00,2021-05,cash_back,41.708,-73.939,460,57
C_ID_0573770745,2021-02,cash_back,42.652,-73.732,320,42
C_ID_05788be697,2020-07,cash_back,43.201,-71.576,562,40
C_ID_0580a744b3,2021-04,travel,41.659,-73.934,793,31
C_ID_0587354f3e,2020-04,cash_back,40.405,-79.959,531,50
C_ID_058e6a88d0,2021-03,cash_back,42.668,-73.774,388,40
C_ID_05903a97b8,2021-02,cash_back,43.252,-71.591,457,60
C_ID_05987a8fd5,2018-12,dining_entertainment,40.474,-80.013,354,27
C_ID_05a0645d18,2021-10,cash_back,41.807,-72.685,359,36
C_ID_05a731564c,2020-08,cash_back,42.598,-73.802,517,75
C_ID_05aec9ab41,2021-05,cash_back,43.213,-71.581,761,83
C_ID_05b0bce43c,2021-02,cash_back,41.752,-72.719,329,39
C_ID_05bb36b7eb,2021-06,cash_back,40.424,-79.971,736,43
C_ID_05bfb84ace,2019-01,cash_back,41.77,-72.728,516,65
C_ID_05c7f89131,2021-08,cash_back,41.728,-73.887,740,36
C_ID_05d1df0a5e,2021-05,cash_back,41.554,-79.956,831,51
C_ID_05d5c2d1d7,2021-10,cash_back,41.666,-73.936,776,46
C_ID_05daae47e9,2021-09,travel,43.164,-71.551,400,78
C_ID_05df2140f2,2020-12,cash_back,42.284,-71.777,521,48
C_ID_05e1452977,2017-03,cash_back,45.219,-70.939,666,66
C_ID_05e72e6843,2021-12,cash_back,41.709,-73.9,592,85
C_ID_05f1c6ce54,2020-01,cash_back,42.65,-73.739,731,74
C_ID_05fadd787d,2020-05,travel,43.154,-71.589,521,33
C_ID_0602fad8cb,2020-12,dining_entertainment,40.423,-80.006,308,36
C_ID_060921530b,2021-12,travel,43.227,-71.565,413,74
C_ID_060b8de091,2021-12,cash_back,42.306,-71.82,435,70
C_ID_06141773dd,2021-06,travel,43.168,-71.558,311,44
C_ID_061cb1c329,2021-12,cash_back,42.604,-73.752,530,64
C_ID_06207fb62f,2021-11,cash_back,40.471,-80.049,726,21
C_ID_062731d460,2020-11,cash_back,42.651,-73.77,738,40
C_ID_0628f896c0,2021-11,travel,43.218,-71.531,560,21
C_ID_0630349ae5,2021-12,cash_back,42.237,-71.777,636,46
C_ID_0634d986bd,2021-05,travel,42.654,-73.78,526,53
C_ID_063ab25787,2020-12,cash_back,41.733,-73.904,325,51
C_ID_064278dc3a,2020-09,cash_back,42.638,-73.762,644,52
C_ID_0649bacc99,2021-09,cash_back,42.26,-71.788,635,41
C_ID_06533d6a31,2021-12,dining_entertainment,43.202,-71.57,780,81
C_ID_065cbdfed2,2021-07,cash_back,43.217,-71.496,576,37
C_ID_06624a4a24,2020-11,cash_back,41.738,-73.966,584,20
C_ID_066795676a,2021-02,cash_back,43.226,-71.499,541,52
C_ID_066e47947b,2020-10,cash_back,42.676,-73.755,803,35
C_ID_06732cdd74,2021-11,cash_back,41.671,-73.913,715,41
C_ID_0677439a4a,2021-08,dining_entertainment,42.218,-71.767,389,22
C_ID_067a1ea823,2021-03,cash_back,40.424,-79.994,616,30
C_ID_067e955008,2021-07,travel,42.304,-71.764,646,88
C_ID_0684714969,2021-04,cash_back,41.751,-72.681,689,26
C_ID_0690e0a591,2021-04,cash_back,42.257,-71.802,306,66
C_ID_0695417071,2018-05,cash_back,41.769,-72.642,663,68
C_ID_0696fdc59e,2020-11,cash_back,41.734,-73.902,352,27
C_ID_069c583285,2020-08,cash_back,40.389,-80.019,677,78
C_ID_06a16ee861,2019-10,cash_back,40.401,-79.997,521,37
C_ID_06a535dbf5,2021-10,dining_entertainment,42.662,-73.722,301,68
C_ID_06aaf712df,2021-01,cash_back,42.277,-71.759,703,75
C_ID_06ac923556,2021-06,cash_back,41.737,-72.691,649,80
C_ID_06af848348,2021-06,dining_entertainment,42.272,-71.825,826,36
C_ID_06b3db86aa,2020-07,dining_entertainment,40.386,-79.978,814,19
C_ID_06b78ac4e0,2020-07,cash_back,42.26,-71.792,466,21
C_ID_06b9909663,2021-08,cash_back,43.187,-71.501,637,35
C_ID_06bdb941b9,2021-06,cash_back,41.699,-73.972,812,36
C_ID_06c34f6299,2019-11,travel,41.646,-73.885,396,26
C_ID_06c52c2451,2020-12,travel,41.734,-72.661,502,69
C_ID_06ca7d9266,2019-07,cash_back,41.729,-72.641,659,80
C_ID_06d9fded01,2021-01,travel,43.19,-71.535,470,23
C_ID_06dd95e3aa,2020-10,dining_entertainment,40.467,-80.029,752,23
C_ID_06e8c2c4f3,2021-07,cash_back,40.466,-79.973,487,59
C_ID_06ee8d0290,2021-05,travel,42.272,-71.845,528,33
C_ID_06f08be3a7,2021-06,cash_back,43.161,-71.546,804,91
C_ID_06f6694428,2021-05,dining_entertainment,41.684,-73.961,807,29
C_ID_06fee5238c,2020-04,travel,41.671,-73.879,430,22
C_ID_0709ad0571,2021-11,travel,44.064,-76.32,512,91
C_ID_070fdd4cea,2020-10,dining_entertainment,42.283,-71.822,440,51
C_ID_071250be80,2021-09,dining_entertainment,40.387,-80.003,764,39
C_ID_0715dfed01,2021-08,dining_entertainment,42.23,-71.809,777,29
C_ID_071f0b89e3,2021-12,cash_back,40.056,-78.647,442,25
C_ID_072abe11c7,2021-01,cash_back,43.154,-71.508,599,95
C_ID_07323607f1,2021-10,cash_back,41.722,-73.932,625,26
C_ID_0737c4f0ea,2021-12,dining_entertainment,43.155,-71.552,334,68
C_ID_07391d0996,2021-09,dining_entertainment,43.186,-71.539,845,30
C_ID_073e008dc3,2021-02,cash_back,40.463,-80.013,539,42
C_ID_0741a592b7,2021-05,cash_back,41.673,-73.932,787,20
C_ID_0747d9a629,2020-08,cash_back,42.215,-71.83,658,93
C_ID_074daa5233,2020-12,cash_back,40.392,-80.03,343,37
C_ID_0753025ff4,2021-02,cash_back,41.73,-73.886,557,30
C_ID_0759a568f7,2020-07,cash_back,42.245,-71.785,544,90
C_ID_075d5ce092,2021-04,travel,41.688,-73.947,800,92
C_ID_0765794169,2021-12,cash_back,42.266,-71.833,721,84
C_ID_076bd85d49,2021-07,dining_entertainment,43.567,-77.86,604,30
C_ID_07703a5f32,2020-11,dining_entertainment,42.674,-73.803,394,67
C_ID_077b53e32d,2021-07,dining_entertainment,41.726,-73.894,467,38
C_ID_077ed2b95a,2021-08,cash_back,40.437,-79.965,598,21
C_ID_07846f068a,2019-12,cash_back,42.623,-73.764,830,34
C_ID_0788186ac7,2020-05,dining_entertainment,41.803,-72.716,366,27
C_ID_078ee83803,2021-12,cash_back,41.324,-77.93,520,68
C_ID_0792eb5e0f,2021-10,dining_entertainment,40.451,-79.979,708,97
C_ID_07981e5389,2019-04,travel,42.255,-71.806,426,56
C_ID_079e416032,2020-08,travel,41.656,-73.942,491,32
C_ID_07a0660129,2020-12,travel,41.771,-72.726,599,100
C_ID_07a4ea0c5a,2019-01,dining_entertainment,41.686,-73.885,431,31
C_ID_07abd7817e,2020-12,cash_back,42.255,-71.762,566,28
C_ID_07b74d8dab,2021-12,cash_back,43.244,-71.551,433,56
C_ID_07ba4e3b21,2020-11,cash_back,42.665,-73.754,796,38
C_ID_07c0e95314,2019-05,travel,40.393,-79.966,533,53
C_ID_07c367b5d1,2021-11,cash_back,42.253,-71.83,803,45
C_ID_07c6d6e1fb,2021-05,cash_back,42.273,-71.804,713,31
C_ID_07cb22b504,2021-06,cash_back,43.236,-71.548,444,26
C_ID_07d019a66e,2021-06,cash_back,42.241,-71.846,667,43
C_ID_07db6b8856,2021-01,cash_back,42.68,-73.713,768,27
C_ID_07e089a45e,2021-06,cash_back,41.721,-72.717,643,82
C_ID_07e776aa02,2021-10,dining_entertainment,41.768,-72.666,440,50
C_ID_07f198348a,2021-01,travel,41.699,-73.911,487,45
C_ID_07f348eb7c,2021-01,cash_back,42.234,-71.853,607,74
C_ID_07f71adae4,2019-05,cash_back,40.424,-80.041,450,43
C_ID_08056f0fd5,2019-11,cash_back,41.772,-72.681,303,48
C_ID_080988678a,2019-07,cash_back,42.67,-73.803,556,93
C_ID_080e0e91dc,2020-12,dining_entertainment,40.445,-80.021,838,87
C_ID_081233d9ff,2021-08,cash_back,42.658,-73.795,324,78
C_ID_0817148218,2020-08,cash_back,43.224,-71.521,373,65
C_ID_081a8e8b49,2019-02,cash_back,40.413,-79.983,501,73
C_ID_082235d619,2021-11,travel,43.219,-71.573,744,21
C_ID_082500f3b5,2021-11,dining_entertainment,42.301,-71.834,587,36
C_ID_083028b37c,2021-08,cash_back,42.208,-71.824,464,18
C_ID_0834f69033,2020-08,travel,41.694,-73.958,641,81
C_ID_083d1ea57f,2021-10,dining_entertainment,40.457,-79.952,814,71
C_ID_0842020dc1,2021-10,dining_entertainment,40.481,-79.964,759,50
C_ID_084d308e5b,2020-12,cash_back,43.171,-71.539,643,86
C_ID_084f9c1749,2021-08,dining_entertainment,43.238,-71.53,811,27
C_ID_08537a6d97,2021-04,travel,41.729,-72.683,638,96
C_ID_085b3586cf,2019-10,travel,41.698,-73.934,528,66
C_ID_08615bc8d3,2021-11,dining_entertainment,41.715,-72.72,317,36
C_ID_086310335d,2021-09,cash_back,42.608,-73.737,544,42
C_ID_08687f8278,2020-10,cash_back,40.398,-79.974,307,20
C_ID_086e52a69e,2020-10,dining_entertainment,43.177,-71.579,665,60
C_ID_08713d8d6d,2019-11,cash_back,41.695,-73.893,562,24
C_ID_087a523394,2020-06,travel,42.669,-73.806,703,80
C_ID_087f33f7af,2021-12,cash_back,43.204,-71.538,756,34
C_ID_08852e82f5,2021-05,dining_entertainment,41.794,-72.684,676,21
C_ID_088b809b20,2021-11,cash_back,41.74,-73.926,849,88
C_ID_088fc24428,2021-05,cash_back,42.299,-71.837,482,37
C_ID_089223d5b9,2021-08,cash_back,43.19,-71.592,655,85
C_ID_08984caaf1,2021-09,travel,41.732,-73.946,314,19
C_ID_089acdcf5c,2021-04,dining_entertainment,40.389,-79.958,654,56
C_ID_089c955b9f,2021-08,cash_back,41.747,-72.664,478,23
C_ID_08a447c06b,2020-12,cash_back,40.391,-80.036,519,75
C_ID_08aba39fda,2021-10,travel,42.248,-71.769,667,36
C_ID_08b2329d87,2021-05,dining_entertainment,41.739,-72.714,732,34
C_ID_08b68c0ea0,2021-11,cash_back,41.752,-72.72,658,87
C_ID_08bdb766f9,2020-06,dining_entertainment,42.277,-71.821,489,98
C_ID_08c281e90c,2021-11,dining_entertainment,40.405,-80.012,480,85
C_ID_08c9197a9d,2021-11,cash_back,42.615,-73.743,667,49
C_ID_08cace357f,2021-11,dining_entertainment,43.161,-71.551,377,20
C_ID_08d2f430b7,2021-11,dining_entertainment,42.256,-71.853,435,46
C_ID_08d87b53e6,2021-01,cash_back,40.482,-80.019,600,85
C_ID_08da859ca9,2021-01,cash_back,40.449,-80.007,661,38
C_ID_08dd6cd7d8,2021-11,dining_entertainment,41.699,-73.888,725,26
C_ID_08e28cbd83,2021-07,cash_back,42.272,-71.831,740,35
C_ID_08ea8b8206,2021-07,travel,41.761,-72.692,595,49
C_ID_08ef8d1e9c,2020-12,cash_back,40.45,-80.029,585,94
C_ID_08f5408843,2021-09,cash_back,43.176,-71.501,613,69
C_ID_08f899e3ec,2021-01,cash_back,41.703,-73.928,323,23
C_ID_08fb073a3c,2021-10,cash_back,39.982,-78.151,720,58
C_ID_0902099ee5,2020-11,cash_back,43.176,-71.582,411,86
C_ID_090fb0cba4,2021-12,travel,43.174,-71.563,758,75
C_ID_09105ba007,2019-10,travel,43.213,-71.521,840,47
C_ID_0914f15d92,2019-04,travel,41.784,-72.669,736,20
C_ID_09196d18d6,2021-10,travel,43.238,-71.517,669,38
C_ID_091cf42a0c,2021-09,travel,41.765,-72.703,421,39
C_ID_0921edb578,2019-08,travel,42.685,-73.75,663,79
C_ID_092d43664d,2019-11,cash_back,41.787,-72.676,774,26
C_ID_09365b8f8a,2021-08,dining_entertainment,40.397,-80.016,742,71
C_ID_0939b3a9f5,2021-12,travel,41.8,-72.693,777,22
C_ID_0941c2b7d1,2021-08,cash_back,43.431,-74.068,350,67
C_ID_0946cb44c7,2019-12,cash_back,42.264,-71.791,760,61
C_ID_094e0e9258,2021-01,cash_back,40.483,-80.026,698,18
